EDWIN CALVETE,EDWIN CALVETE,EDWIN CALVETE,EDWIN CALVETE,EDWIN CALVETE,EDWIN CALVETE,EDWIN CALVETE
CENTRO COMERCIAL LA CUESTA,CENTRO COMERCIAL LA CUESTA,CENTRO COMERCIAL LA CUESTA,CENTRO COMERCIAL LA CUESTA,CENTRO COMERCIAL LA CUESTA,CENTRO COMERCIAL LA CUESTA,CENTRO COMERCIAL LA CUESTA
MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025
MATERIAL,11659,11682,,,,SALDO
,2025-07-23,2025-07-31,,,,2025-07-31
"VTCL DE 1M EN TUB ESTRUC CAL 3,2M SIN EPG GALV",4,-4,,,,
"VTCL DE 2M EN TUB ESTRUC CAL 3,25 CON ESPG GALV",8,-8,,,,
"HOZTAL DE 1,4M EN TUBER ESTRUC CAL 325M GALV",20,-20,,,,
"DIAG PARA 1,4M EN TUBE ESTRUC CAL 25M-2,40 GALV",8,-8,,,,
BASE COLOR GALVANIZADA,4,-4,,,,
PASADOR VERTICAL,4,-4,,,,
ESCALERA ANTIDESLIZANTE PARA 2M GALV SIN PUER,2,-2,,,,
"PLATAFORMA METALICA 1,4*60MPUERTA DE ACCESO",6,-6,,,,
"PLATAFORMA DE ACEROY ALUMINIO DE 1,4",2,-2,,,,
"RODAPIE DE 1,4*0,15M",4,-4,,,,
"RUEDA DE POLIETILENO DE 8"" CON TORNILLO",4,-4,,,,
HORA,06:30,10:40,,,,
Transporte,75000,WFD-236,,,,
