INVERSIONES G Y 23,INVERSIONES G Y 23,INVERSIONES G Y 23,INVERSIONES G Y 23,INVERSIONES G Y 23,INVERSIONES G Y 23,INVERSIONES G Y 23
CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674,CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674,CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674,CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674,CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674,CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674,CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674
MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025
MATERIAL,12851,,,,,SALDO
,2025-07-14,,,,,2025-07-31
POLEAS,2,,,,,2
"TABLEROS DE MADERA 70*1,40",6,,,,,6
ANGULOS PARA POLEA 6 MTROS,2,,,,,2
PASAMANOS DE 6 MTROS,1,,,,,1
HORA,07:30,,,,,
Transporte,50000,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,E,,,,,
