IXA SAS,IXA SAS,IXA SAS,IXA SAS,IXA SAS,IXA SAS,
CRA 34 #41-63 TEL: 3156847765,CRA 34 #41-63 TEL: 3156847765,CRA 34 #41-63 TEL: 3156847765,CRA 34 #41-63 TEL: 3156847765,CRA 34 #41-63 TEL: 3156847765,CRA 34 #41-63 TEL: 3156847765,
MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,
MATERIAL,SALDO,11616,12855,11645,SALDO,
MATERIAL,2025-06-30,2025-07-02,2025-07-16,2025-07-16,2025-07-31,
"MARCOS DE ANDAMIOS 2*0,90",6,-6,4,-4,,
CRUCETAS 2.MTROS,6,-6,4,-4,,
TABLONES DE 3 MTROS,3,-3,,,,
TABLONES CORTOS,,,3,-3,,
Hora,,10:40,08:55,03:25,,95200
Transporte,,XLE -235,XLE -235,XLE -235,,
