JAVIER,JAVIER,JAVIER,JAVIER,JAVIER,JAVIER,JAVIER,,,,,,,
MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,,,,,,,
MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,,,,,,,
MATERIAL,12853,11649,,,,SALDO,,,,,,,
,2025-07-15,2025-07-18,,,,2025-07-31,,,,,,,
"FORMALETA DE 30*1,20",32,-32,,,,,,,,,,,
"ANGULOS DE 1,20",16,-16,,,,,,,,,,,
ANGULOS DE 60,32,-32,,,,,,,,,,,
PARALES DE 3 MTROS,16,-16,,,,,,,,,,,
CHAPETAS,400,-400,,,,,,,,,,,
CAJA METALICA,2,-2,,,,,,,,,,,",,,,,,,,,-"
HORA,07:00,11:30,,,,,,,,,,,
Transporte,30000,30000,,,,60000,,,,,,,
