JOSE REDIN FORERO,JOSE REDIN FORERO,JOSE REDIN FORERO,JOSE REDIN FORERO,JOSE REDIN FORERO,JOSE REDIN FORERO,JOSE REDIN FORERO,,
MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,,
MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,,
MATERIAL,12857,12897,11691,,,SALDO,,
,2025-07-16,2025-07-29,2025-08-05,,,2025-07-31,,
"FORMALETA DE 50*1,20",24,2,-25,,,1,21,21
"FORMALETA DE 20*1,20",18,,-17,,,1,7,7
FORMALETA DE 20*60,6,,,,,6,4,24
"FORMALEETA DE 25*1,20",,2,,,,2,11,22
"FORMALETA DE 35*1,20",,3,,,,3,15.5,46.5
"FORMALETA DE 60*1,20",,24,-17,,,7,26,182
FORMALETA DE 25*60,,7,,,,7,6,42
PARALES DE 3 MTROS,16,5,,,,21,13.5,283.5
PARALES DE 2 MTROS,16,5,,,,21,12,252
CHAPETAS,500,64,,,,564,0.1,56.400000000000006
ANGULOS DE 60,16,-16,,,,,,
"ANGULOS DE 1,20",32,-32,,,,,,
"ALINEADORE 3,7",,5,-5,,,,15,
ALINEADORE 3 MTROS,,5,-4,,,1,13.5,13.5
"ALINEADOR DE 2,5",,4,-4,,,,11,
ALINEADOR DE  2 MTOS,,6,-6,,,,10,
CORBATAS DE MURO E=20CM,,30,,,,30,,
PIN,,60,,,,60,,
CAJA METALICA,2,1,,,,3,,
DUCTOLON 10 MTROS,,10,,,,10,,
TENSORES,,84,,,,84,0.2,16.8
HORA,10:00,09:00,,,,,,966.6999999999999
Transporte,40000,40000,,,,80000,,
