PRODUCTOS DE ALIMENTOS ALINA,PRODUCTOS DE ALIMENTOS ALINA,PRODUCTOS DE ALIMENTOS ALINA,PRODUCTOS DE ALIMENTOS ALINA,PRODUCTOS DE ALIMENTOS ALINA,PRODUCTOS DE ALIMENTOS ALINA,PRODUCTOS DE ALIMENTOS ALINA
CRA 19 #5-21,CRA 19 #5-21,CRA 19 #5-21,CRA 19 #5-21,CRA 19 #5-21,CRA 19 #5-21,CRA 19 #5-21
MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025
MATERIAL,12863,12864,11650,,,SALDO
,2025-07-16,2025-07-17,2025-07-18,,,2025-07-31
"MARCOS DE ANDAMIO 1,50 ROJOS",2,2,-4,,,
"2 CRUCETAS DE 2,00 MTROS",2,2,-4,,,
TABLONES LARGOS 3 MTROS,2,,-2,,,
HORA,3.20,07:00,03:10,,,
Transporte,***,A PIE,***,,,
ABONO $ 47000,,,,,,
,,,,,,
,,,          ,,,
