STERICARE PLUS /ANDRES MORENO,STERICARE PLUS /ANDRES MORENO,STERICARE PLUS /ANDRES MORENO,STERICARE PLUS /ANDRES MORENO,STERICARE PLUS /ANDRES MORENO,STERICARE PLUS /ANDRES MORENO,STERICARE PLUS /ANDRES MORENO
CRA 38#41-108 TEL:3026565476 CABECERA,CRA 38#41-108 TEL:3026565476 CABECERA,CRA 38#41-108 TEL:3026565476 CABECERA,CRA 38#41-108 TEL:3026565476 CABECERA,CRA 38#41-108 TEL:3026565476 CABECERA,CRA 38#41-108 TEL:3026565476 CABECERA,CRA 38#41-108 TEL:3026565476 CABECERA
MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025
MATERIAL,SALDO,,,,,SALDO 
MATERIAL,2025-07-31,,,,,2025-08-31
MARCOS DE ANDAMIOS 1.50 VERDES,6,,,,,6
CRUCETAS 2.40,4,,,,,4
TABLONES  DE 3 MTROS,12,,,,,12
PLATAFORMAS,2,,,,,2
Hora,,,,,,
TRANSPORTE,,,,,,
