VIDAL,VIDAL,VIDAL,VIDAL,VIDAL,VIDAL
MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS,MIRADORES DE LA UIS
MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025
MATERIAL,12900,,,,SALDO
,2025-07-31,,,,2025-07-31
"FORMALETA DE 20*1,20",32,,,,32
"FORMALETA DE 40*1,20",16,,,,16
"ANGULOS DE 1,20",16,,,,16
ANGULOS DE 60,32,,,,32
CHAPETAS,400,,,,400
CAJAS METALICAS,2,,,,2
HORA,07:00,,,,
Transporte,40000,,,,
COBRAR A PARTIR DEL 31 DE JULIO,,,,,
