TEJIDO ARQUITECTONICO S.A.S,TEJIDO ARQUITECTONICO S.A.S,TEJIDO ARQUITECTONICO S.A.S,TEJIDO ARQUITECTONICO S.A.S,TEJIDO ARQUITECTONICO S.A.S,TEJIDO ARQUITECTONICO S.A.S,TEJIDO ARQUITECTONICO S.A.S
CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108
MOVIMIENTO: MAYO 11 A SEPTIEMBRE 11/2026,MOVIMIENTO: MAYO 11 A SEPTIEMBRE 11/2026,MOVIMIENTO: MAYO 11 A SEPTIEMBRE 11/2026,MOVIMIENTO: MAYO 11 A SEPTIEMBRE 11/2026,MOVIMIENTO: MAYO 11 A SEPTIEMBRE 11/2026,MOVIMIENTO: MAYO 11 A SEPTIEMBRE 11/2026,MOVIMIENTO: MAYO 11 A SEPTIEMBRE 11/2026
MATERIAL,SALDO,13399,13420,,,MATERIAL EN OBRA
,2026-05-10,2026-06-13,2026-06-20,,,2026-09-11
"MARCOS DE ANDAMIOS AZULES DE 1,50",6,-6,,,,
"CRUCETAS DE 2,40",12,-12,,,,
"MARCOS DE ANDAMIOS AMARILLOS 1,50",6,-2,-4,,,
"CRUCETAS DE 2,40 ",6,,-5,,,1
MARCOS DE ANDAMIOS NARANAJAS ,4,,-4,,,
"CRUCETAS DE 2,40",4,-4,,,,
TABLONES DE 3 MTROS,16,-8,-6,,,2
MARCOS DE ANDAMIOS (CG),10,-10,,,,
CRUCETAS (CG),3,-2,,,,1
RUEDAS NIVELADORAS ,4,-4,,,,
HORA,,09:00,07:40,,,
Transporte,,60000,40000,40000,,100000
,,,,,,
ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348
TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO
WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 
SECCIONES DE ANDAMIOS ,33,13,1400,18200,600600,MAYO 11 A JUNIO 12
TABLONES DE 3 METROS,33,16,1400,22400,739200,MAYO 11 A JUNIO 12
RUEDAS NIVELADORAS,33,4,800,3200,105600,MAYO 11 A JUNIO 12
MAYO 11 A JUNIO 12,MAYO 11 A JUNIO 12,TOTAL DIARIO,TOTAL DIARIO,52122,,
MAYO 11 A JUNIO 12,MAYO 11 A JUNIO 12,DIAS,DIAS,1445400,,
MAYO 11 A JUNIO 12,MAYO 11 A JUNIO 12,IVA 19 %,IVA 19 %,274626,,
MAYO 11 A JUNIO 12,MAYO 11 A JUNIO 12,TRANSPORTE,TRANSPORTE,60000,,
MAYO 11 A JUNIO 12,MAYO 11 A JUNIO 12, GRANTOTAL, GRANTOTAL,1780026,,
,,,,,,
,,,,,,
ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348
TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO
WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 
SECCIONES DE ANDAMIOS ,7,4,1400,5600,39200,JUNIO 13 AL 19
TABLONES DE 3 METROS,7,8,1400,11200,78400,JUNIO 13 AL 19
JUNIO 13 AL 19,JUNIO 13 AL 19,TOTAL DIARIO,TOTAL DIARIO,19992,,
JUNIO 13 AL 19,JUNIO 13 AL 19,DIAS,DIAS,117600,,
JUNIO 13 AL 19,JUNIO 13 AL 19,IVA 19 %,IVA 19 %,22344,,
JUNIO 13 AL 19,JUNIO 13 AL 19,TRANSPORTE,TRANSPORTE,40000,,
JUNIO 13 AL 19,JUNIO 13 AL 19, GRANTOTAL, GRANTOTAL,179944,,
,,,,,,
,,,,,,
ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348
TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO
WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 
SECCIONES DE ANDAMIOS ,84,2,1400,2800,235200,JUNIO 20 A SEPTIEMBRE 11
JUNIO 20 A SEPTIEMBRE 11,JUNIO 20 A SEPTIEMBRE 11,TOTAL DIARIO,TOTAL DIARIO,3332,,
JUNIO 20 A SEPTIEMBRE 11,JUNIO 20 A SEPTIEMBRE 11,DIAS,DIAS,235200,,
JUNIO 20 A SEPTIEMBRE 11,JUNIO 20 A SEPTIEMBRE 11,IVA 19 %,IVA 19 %,44688,,
JUNIO 20 A SEPTIEMBRE 11,JUNIO 20 A SEPTIEMBRE 11,TRANSPORTE,TRANSPORTE,40000,,
JUNIO 20 A SEPTIEMBRE 11,JUNIO 20 A SEPTIEMBRE 11, GRANTOTAL, GRANTOTAL,319888,,
TOTAL ADEUDADO,,,,2279858,,
