LUDWIN ANGULO,LUDWIN ANGULO,LUDWIN ANGULO,LUDWIN ANGULO,LUDWIN ANGULO,LUDWIN ANGULO,LUDWIN ANGULO
INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA
MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026
MATERIAL,13999,13645,,,,SALDO 
,2026-09-09,2026-09-16,,,,2026-09-30
"MARCOS DE ANDAMIO 1,50",12,-12,,,,
"CRUCETAS 2,40",12,-12,,,,
TABLONES DE 3 MTROS ,8,-8,,,,
HORA,08:30,11:30,,,,
Transporte,35000,35000,,,,70000
,,,,,,
JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,
EDUARDLUWDIN ANGULO DIAZO TOLOZA,EDUARDLUWDIN ANGULO DIAZO TOLOZA,EDUARDLUWDIN ANGULO DIAZO TOLOZA,EDUARDLUWDIN ANGULO DIAZO TOLOZA,EDUARDLUWDIN ANGULO DIAZO TOLOZA,EDUARDLUWDIN ANGULO DIAZO TOLOZA,
INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,
MATERIAL,,,,COSTOS,COSTOS,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,
"MARCOS DE ANDAMIOS 1,50",7,6,1500,9000,63000,
TABLONES DE 3 MTROS ,7,8,1000,8000,56000,
SEP 9 A SEP 15,SEP 9 A SEP 15,VALOR DIARIO,VALOR DIARIO,17000,,
SEP 9 A SEP 15,SEP 9 A SEP 15,DIAS ,DIAS ,119000,,
SEP 9 A SEP 15,SEP 9 A SEP 15,LLAVADA Y RECOGIDA,LLAVADA Y RECOGIDA,70000,,
SEP 9 A SEP 15,SEP 9 A SEP 15,TOTAL DIAS,TOTAL DIAS,189000,,
