CICOM INGENIERIA,CICOM INGENIERIA,CICOM INGENIERIA,CICOM INGENIERIA,CICOM INGENIERIA,CICOM INGENIERIA
CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009
MOVIMIENTO:AGOSTO 2026,MOVIMIENTO:AGOSTO 2026,MOVIMIENTO:AGOSTO 2026,MOVIMIENTO:AGOSTO 2026,MOVIMIENTO:AGOSTO 2026,MOVIMIENTO:AGOSTO 2026
MATERIAL,SALDO,13637,,,SALDO
,2026-08-31,2026-09-10,,,31-009
"FORMALETA DE 30*1,20",1,,,,1
ANGULOS DE 60,1,,,,1
PARALES DE 4 MTRS,2,-1,,,1
BASE DE PARAL DE 3 MTROS ,2,-1,,,1
"FORMALETA DE 20*1,20",1,,,,1
HORA,,03:45,,,
TRANSPORTE ,,NAIN,,,
,7,-2,,,
