CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,CLAUDIA GIL,,
GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,GIRARDOT,,
MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,MOVIMIENTO: SEPTIEMBRE /2026,,
material ,SALDO,13982,13985,13612,13617,13620,13991,13623,13624,14008,13630,13634,13642,14030,13651,13653,13655,13562,,
,2026-08-31,2026-09-01,2026-09-02,2026-09-02,31-09,2026-09-03,2026-09-04,2026-09-04,2026-09-07,2026-09-10,2026-09-10,2026-09-11,2026-09-15,2026-09-16,2026-09-17,2026-09-18,2026-09-19,2026-08-13,,
CERCHAS DE 3 MTROS PLATINA,2,,,,,-2,,,,,,,,,,,,,,
"CERCHAS DE 1,50",3,,,,,,,,,,,,,,,,,3,,
PARALES DE 4 MTROS,39,,,,,,,,,,-3,,,,,,,36,corte 23-08-2026,
PARALES DE 3 MTROS ,1,,,,,,,,,,,,,,,,,1,,
PARALES DE 6 MTROS ,0,,4,,,,,,,,,,,,,,,4,,
"PARALES DE 2 MTROS (1,20)",4,,,-4,,,,,,,,,,,,,,,,
"FORMALETA DE 60*1,20",26,,,,,-5,,,,,-2,,,,,-3,,16,CTE 8-09-2026,
TABLON CORTO ,1,,,,,,,,,,,,,,,,,1,,
ALINEADORES DE 6 MTROS,1,1,,,,,,,,1,,,-1,,-1,,-1,,,
PARALES DE 1 MTRO ,2,,,-2,,,,,,,,,,,,,,,,
DUCTOLON,23,12,,,,,3,,,,,,,,,,,38,, 
"CERCHAS DE 2,40",2,,,,,,,-2,,,,                                                                                                               ,,,,,,,,
"FORMALETA  DE 50*1,20",1,,,,,,,,,,,,,,,,,1,,
"FORMALETA DE 15*1,20",5,,,,,,,,,,,,,,,,,5,,
"FORMAELTA DE 45*1,20",12,,,,,,,,-3,,,-9,,,,,,, ,
"ANGULOS DE 1,20",16,,,,,,,,,,,,,,,,,16,,
CHAPETAS,114,,,,-114,,,,,,,,,,,,,,,
ANGULOS DE 60,5,,,,,,,,,,,,,,,,,5,,
"FORMALETA DE 25*1,20",,,,,,,,,,,,,,8,,,,8,,
Hora,,10:45,08:55,09:00,10:35,04:25,11:04,10:58,01:48,02:10,02:10,03:03,07:48,02:30,03:30,|3:40,08:29,,,
TRANSPORTE,,QTV-371,QTV-371,QTV-371,QTV-371,QTV-371,QTV-371,QTV-371,QTV-371,QTV-371,QTV-371,QTV-371,QTV-371,SSY-356,QTV-371,QTV-371,QTV-371,,,
,,,,CTE 31-08,CTE 31-08,CTE 2-09,,,CTE 5-09,,,,CTE-14-09,,CTE-15-09,,,,,
