CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA
CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA
MOVIMIENTO:SEPTIEMBRE/ 2026,MOVIMIENTO:SEPTIEMBRE/ 2026,MOVIMIENTO:SEPTIEMBRE/ 2026,MOVIMIENTO:SEPTIEMBRE/ 2026,MOVIMIENTO:SEPTIEMBRE/ 2026,MOVIMIENTO:SEPTIEMBRE/ 2026,MOVIMIENTO:SEPTIEMBRE/ 2026,MOVIMIENTO:SEPTIEMBRE/ 2026,MOVIMIENTO:SEPTIEMBRE/ 2026,MOVIMIENTO:SEPTIEMBRE/ 2026,MOVIMIENTO:SEPTIEMBRE/ 2026,MOVIMIENTO:SEPTIEMBRE/ 2026,MOVIMIENTO:SEPTIEMBRE/ 2026
CONSORCIO LA VICTORIA,SALDO,13631,13649,14039,,,,,,,,SALDO
CONSORCIO LA VICTORIA,2026-08-31,2026-09-11,2026-09-17,2026-09-19,,,,,,,,2026-09-30
ALINEADORES DE 6 MTROS,11,,,,,,,,,,,11
"FORMALETA DE 60*1,20",75,-33,,,,,,,,,,42
ALINEADORES DE 3 MTROS,9,-3,,,,,,,,,,6
"FORAMLETA DE 50*1,20",35,-2,,,,,,,,,,33
"FORMALETA DE 20*1,20",14,-5,,,,,,,,,,9
"FORMALETA DE 30 1,20",6,,,,,,,,,,,6
"FORMALETA DE 25*1,20",2,,,,,,,,,,,2
"FORMALETA DE 10*1,20",12,-8,,,,,,,,,,4
"FORMALETA DE 45*1,20",33,,,,,,,,,,,33
TENSORES ,170,,,,,,,,,,,170
CHAPETAS,1500,,,,,,,,,,,1500
CAJA METALICA,5,,,,,,,,,,,5
"RINCONERAS 10*10*1,20",10,-5,,,,,,,,,,5
"ANGULOS DE 1,20",68,-34,,,,,,,,,,34
PARALES DE 4 MTROS,78,-23,,,,,,,,,,55
PARALES DE 1 MTRO,40,,,,,,,,,,,40
PINES,700,,,,,,,,,,,700
"CRUCETAS 2,40",4,,-4,,,,,,,,,
ANGULOS DE 60,60,-18,,,,,,,,,,42
TABLONES DE MADERA 3 MTROS ,2,-1,-1,1,,,,,,,,1
Hora,,09:00,03:00,08:20,,,,,,,,
TRANSPORTE,,******,*****,****,,,,,,,,
