DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ
FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO
MOVIMIENTO:SEPTIEMBRE /2026,MOVIMIENTO:SEPTIEMBRE /2026,MOVIMIENTO:SEPTIEMBRE /2026,MOVIMIENTO:SEPTIEMBRE /2026,MOVIMIENTO:SEPTIEMBRE /2026,MOVIMIENTO:SEPTIEMBRE /2026,MOVIMIENTO:SEPTIEMBRE /2026,MOVIMIENTO:SEPTIEMBRE /2026,MOVIMIENTO:SEPTIEMBRE /2026
,SALDO,13625,,,,,,SALDO
,AGOSTO ,2026-09-08,,,,,,2026-09-30
"TABLEROS DE MADERA DE 70*1,40",4,,,,,,,4
CERCHAS DE 3 MTROS,4,,,,,,,4
"CERCHAS DE 1,50  MTROS",6,,,,,,,6
PARALES DE 3 MTROS,4,,,,,,,4
PARALES DE 4 MTROS,3,,,,,,,3
CHAPETAS ,80,,,,,,,80
RUEDAS DE ANDAMIOS ,4,-4,,,,,,
HORA,,08:45,,,,,,
Transporte,,CCL-358,CCL-358,CCL-358,,,,
,,,CBRO 4 08,,,,,
