INVERSIONES ULLOA ,INVERSIONES ULLOA ,INVERSIONES ULLOA ,INVERSIONES ULLOA ,INVERSIONES ULLOA ,INVERSIONES ULLOA ,INVERSIONES ULLOA ,INVERSIONES ULLOA 
CRA 20 #5-45 COMUNEROS TEL: 3005601668,CRA 20 #5-45 COMUNEROS TEL: 3005601668,CRA 20 #5-45 COMUNEROS TEL: 3005601668,CRA 20 #5-45 COMUNEROS TEL: 3005601668,CRA 20 #5-45 COMUNEROS TEL: 3005601668,CRA 20 #5-45 COMUNEROS TEL: 3005601668,CRA 20 #5-45 COMUNEROS TEL: 3005601668,CRA 20 #5-45 COMUNEROS TEL: 3005601668
MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026
MATERIAL,13983,13643,,,,,SALDO
,2026-09-01,2026-09-15,,,,,2026-09-30
"MARCOS DA ANDAMIOS 1,50",8,-6,,,,,2
"CRUCETAS DE 2,40",8,-6,,,,,2
TABLONES DE 3 MTROS ,3,-2,,,,,1
HORA,02:39,11:45,,,,,
Transporte,LHL-441,LHL-441,,,,,
"CANCELO # 170,000 EFECTIVO",,,,,,,
