DAVID REDIN:,DAVID REDIN:,DAVID REDIN:,DAVID REDIN:,DAVID REDIN:,DAVID REDIN:,DAVID REDIN:,DAVID REDIN:,DAVID REDIN:
PUERTO RICO ,PUERTO RICO ,PUERTO RICO ,PUERTO RICO ,PUERTO RICO ,PUERTO RICO ,PUERTO RICO ,PUERTO RICO ,PUERTO RICO 
MOVIMIENTO SPTIEMBRE/ 2025,MOVIMIENTO SPTIEMBRE/ 2025,MOVIMIENTO SPTIEMBRE/ 2025,MOVIMIENTO SPTIEMBRE/ 2025,MOVIMIENTO SPTIEMBRE/ 2025,MOVIMIENTO SPTIEMBRE/ 2025,MOVIMIENTO SPTIEMBRE/ 2025,MOVIMIENTO SPTIEMBRE/ 2025,MOVIMIENTO SPTIEMBRE/ 2025
MATERIAL,SALDO,13976,13979,13622,,,,SALDO 
MATERIAL,2026-08-31,2026-08-31,2026-08-31,2026-09-04,,,,2026-09-30
PARALES DE 3 MTROS ,100,,,,,,,100
CERCHAS DE 3 MTROS ,43,,,,,,,43
"BANDAS DE 50*1,40",10,,,,,,,10
"TABLEROS DE 70*1,40",130,,,,,,,130
"BANDAS DE 40*1,40",4,,,,,,,4
CERCHAS DE 1 MTRO ,1,,,,,,,1
"FORMALETA DE 50*1,20",,16,,-16,,,,
"FORMALETA DE 40*1,20",,8,,-8,,,,
"FORMALETA DE 20*1,20",,24,,-24,,,,
CHAPETAS ,,400,50,-447,,,,3
CAJAS METALICAS,,2,,-2,,,,
"ANGULOS DE 1,20",,16,,-16,,,,
ANGULOS DE 60,,36,,-36,,,,
Hora,,09:00,12:15,10:30,,,,
TRANSPORTE,,70000,***,,,,,
"CANCELO 350,000",,,,,,,,
