archivo,ruta,extension,tipo,dominio,titulo,anio,mes,tamano
CUADRO IVA 1 CUATRIMESTRE.xlsx,2023/COPIA/CUADRO IVA 1 CUATRIMESTRE.xlsx,xlsx,informe,informe,CUADRO IVA 1 CUATRIMESTRE,2023,,16189
COTIZACIONES 2023.xlsx,2023/COTIZACIONES 2023.xlsx,xlsx,cotizacion,historico,COTIZACIONES 2023,2023,,161372
FLUJOI EFECTIVO 2023.xlsx,2023/FLUJOI EFECTIVO 2023.xlsx,xlsx,flujo,informe,FLUJOI EFECTIVO 2023,2023,,34034
LISTO DE PRECIOS 2023.xlsx,2023/LISTO DE PRECIOS 2023.xlsx,xlsx,inventario,historico,LISTO DE PRECIOS 2023,2023,,45365
ALQUIER NO FISCAL  JULIO.xlsx,2026/ALQUILER  2026/JULIO 2026/ALQUIER NO FISCAL  JULIO.xlsx,xlsx,alquiler,operacion,ALQUIER NO FISCAL  JULIO,2026,7,47658
ALQUILER FISCAL JULIO 2026.xlsx,2026/ALQUILER  2026/JULIO 2026/ALQUILER FISCAL JULIO 2026.xlsx,xlsx,alquiler,operacion,ALQUILER FISCAL JULIO 2026,2026,7,10464
SEGUIMIENTO JULIO 2026.xlsx,2026/ALQUILER  2026/JULIO 2026/SEGUIMIENTO JULIO 2026.xlsx,xlsx,seguimiento,operacion,SEGUIMIENTO JULIO 2026,2026,7,130025
ALQUILER FISCAL JUNIO 2026.xlsx,2026/ALQUILER  2026/JUNIO 2026/ALQUILER FISCAL JUNIO 2026.xlsx,xlsx,alquiler,operacion,ALQUILER FISCAL JUNIO 2026,2026,6,103697
ALQUILER NO FISCAL JUNIO 2026.xlsx,2026/ALQUILER  2026/JUNIO 2026/ALQUILER NO FISCAL JUNIO 2026.xlsx,xlsx,alquiler,operacion,ALQUILER NO FISCAL JUNIO 2026,2026,6,93034
SEGUIMIENTO JUNIO 2026 El de verdad.xlsx,2026/ALQUILER  2026/JUNIO 2026/SEGUIMIENTO JUNIO 2026 El de verdad.xlsx,xlsx,seguimiento,operacion,SEGUIMIENTO JUNIO 2026 El de verdad,2026,6,145858
ALQUILER FISCAL MAYO 2026.xlsx,2026/ALQUILER  2026/MAYO 2026/ALQUILER FISCAL MAYO 2026.xlsx,xlsx,alquiler,operacion,ALQUILER FISCAL MAYO 2026,2026,5,65091
ALQUILER NO FISCAL MAYO 2026.xlsx,2026/ALQUILER  2026/MAYO 2026/ALQUILER NO FISCAL MAYO 2026.xlsx,xlsx,alquiler,operacion,ALQUILER NO FISCAL MAYO 2026,2026,5,98331
SEGUIMIENTO MAYO 2026.xlsx,2026/ALQUILER  2026/MAYO 2026/SEGUIMIENTO MAYO 2026.xlsx,xlsx,seguimiento,operacion,SEGUIMIENTO MAYO 2026,2026,5,131145
FLUJO EFECTIVO 2026.xlsx,2026/FLUJO EFECTIVO 2026.xlsx,xlsx,flujo,informe,FLUJO EFECTIVO 2026,2026,,88234
ALQUILER FISCAL ABRIL 2025.xlsx,ABRIL 2025/ALQUILER FISCAL ABRIL 2025.xlsx,xlsx,alquiler,historico,ALQUILER FISCAL ABRIL 2025,2025,4,58953
ALQUILER NO FISCAL ABRIL 2025.xlsx,ABRIL 2025/ALQUILER NO FISCAL ABRIL 2025.xlsx,xlsx,alquiler,historico,ALQUILER NO FISCAL ABRIL 2025,2025,4,62205
Copia de SEGUIMIENTO ABRIL.xlsx,ABRIL 2025/Copia de SEGUIMIENTO ABRIL.xlsx,xlsx,seguimiento,historico,Copia de SEGUIMIENTO ABRIL,2025,4,72219
SEGUIMIENTO ABRIL.xlsx,ABRIL 2025/SEGUIMIENTO ABRIL.xlsx,xlsx,seguimiento,historico,SEGUIMIENTO ABRIL,2025,4,104202
ACTA 002.2015.docx,ACTA 002.2015.docx,docx,acta,historico,ACTA 002.2015,2015,,17588
ACTA 003.2015.docx,ACTA 003.2015.docx,docx,acta,historico,ACTA 003.2015,2015,,19738
ACTA 01 - 2016.docx,ACTA 01 - 2016.docx,docx,acta,historico,ACTA 01 - 2016,2016,,23763
ACTA 01 - 2017.docx,ACTA 01 - 2017.docx,docx,acta,historico,ACTA 01 - 2017,2017,,25904
ACTA 02 - 2016.docx,ACTA 02 - 2016.docx,docx,acta,historico,ACTA 02 - 2016,2016,,23217
ACTA 02 - 2017.docx,ACTA 02 - 2017.docx,docx,acta,historico,ACTA 02 - 2017,2017,,23996
ACTA 03 - 2016.docx,ACTA 03 - 2016.docx,docx,acta,historico,ACTA 03 - 2016,2016,,21752
ACTA 03 - 2017.docx,ACTA 03 - 2017.docx,docx,acta,historico,ACTA 03 - 2017,2017,,22872
ACTA 1 2015.docx,ACTA 1 2015.docx,docx,acta,historico,ACTA 1 2015,2015,,18901
ACTA 2  NOTARIAL.docx,ACTA 2  NOTARIAL.docx,docx,acta,documento,ACTA 2  NOTARIAL,,,20402
ACTA 2 DE 2012NOMBRAMIENTO REPRESENTENTE LEGAL.docx,ACTA 2 DE 2012NOMBRAMIENTO REPRESENTENTE LEGAL.docx,docx,acta,historico,ACTA 2 DE 2012NOMBRAMIENTO REPRESENTENTE LEGAL,,,16599
ACTA 3-2012.docx,ACTA 3-2012.docx,docx,acta,historico,ACTA 3-2012,2012,,17133
ACTA 4-2014.docx,ACTA 4-2014.docx,docx,acta,historico,ACTA 4-2014,2014,,18918
HOJA 1 ACTA 2.png,ACTA NO. 2/HOJA 1 ACTA 2.png,png,acta,documento,HOJA 1 ACTA 2,,,821023
HOJA 2 ACTA 2.png,ACTA NO. 2/HOJA 2 ACTA 2.png,png,acta,documento,HOJA 2 ACTA 2,,,995860
HOJA 3 ACTA 2.png,ACTA NO. 2/HOJA 3 ACTA 2.png,png,acta,documento,HOJA 3 ACTA 2,,,963785
HOJA 4 ACTA2.png,ACTA NO. 2/HOJA 4 ACTA2.png,png,acta,documento,HOJA 4 ACTA2,,,783940
ACTA No 1 - 2018.docx,ACTA No 1 - 2018.docx,docx,acta,historico,ACTA No 1 - 2018,2018,,22766
ACTA No 1 - 2019.docx,ACTA No 1 - 2019.docx,docx,acta,historico,ACTA No 1 - 2019,2019,,19319
ACTA No 1- 2020.docx,ACTA No 1- 2020.docx,docx,acta,historico,ACTA No 1- 2020,2020,,22133
ACTA No 1- 2021.docx,ACTA No 1- 2021.docx,docx,acta,historico,ACTA No 1- 2021,2021,,24524
ACTA No 1- 2021.pdf,ACTA No 1- 2021.pdf,pdf,acta,historico,ACTA No 1- 2021,2021,,176006
ACTA No 1- 2022.docx,ACTA No 1- 2022.docx,docx,acta,historico,ACTA No 1- 2022,2022,,24792
ACTA No 1- 2024.docx,ACTA No 1- 2024.docx,docx,acta,historico,ACTA No 1- 2024,2024,,24582
ACTA No 2 - 2018.docx,ACTA No 2 - 2018.docx,docx,acta,historico,ACTA No 2 - 2018,2018,,23790
ACTA No 2 - 2019.docx,ACTA No 2 - 2019.docx,docx,acta,historico,ACTA No 2 - 2019,2019,,21762
ACTA No 2- 2020.docx,ACTA No 2- 2020.docx,docx,acta,historico,ACTA No 2- 2020,2020,,24838
ACTA No 2- 2020.odt,ACTA No 2- 2020.odt,odt,acta,historico,ACTA No 2- 2020,2020,,19685
ACTA No 2- 2021.docx,ACTA No 2- 2021.docx,docx,acta,historico,ACTA No 2- 2021,2021,,25094
ACTA No 2- 2022.docx,ACTA No 2- 2022.docx,docx,acta,historico,ACTA No 2- 2022,2022,,26526
ACTA No 3- 2018.docx,ACTA No 3- 2018.docx,docx,acta,historico,ACTA No 3- 2018,2018,,23978
ACTA No 3- 2019.docx,ACTA No 3- 2019.docx,docx,acta,historico,ACTA No 3- 2019,2019,,20615
ACTA No 3- 2021.docx,ACTA No 3- 2021.docx,docx,acta,historico,ACTA No 3- 2021,2021,,28102
ACTA No 3- 2022 v2.docx,ACTA No 3- 2022 v2.docx,docx,acta,historico,ACTA No 3- 2022 v2,2022,,25531
ACTA No 3- 2022.docx,ACTA No 3- 2022.docx,docx,acta,historico,ACTA No 3- 2022,2022,,27046
ACTA No 4- 2022.docx,ACTA No 4- 2022.docx,docx,acta,historico,ACTA No 4- 2022,2022,,24410
HOJA 1 ACTA 3.png,ACTA No. 3/HOJA 1 ACTA 3.png,png,acta,documento,HOJA 1 ACTA 3,,,492535
HOJA 2 ACTA 3.png,ACTA No. 3/HOJA 2 ACTA 3.png,png,acta,documento,HOJA 2 ACTA 3,,,599582
HOJA 3 ACTA 3.png,ACTA No. 3/HOJA 3 ACTA 3.png,png,acta,documento,HOJA 3 ACTA 3,,,493980
HOJA 4 ACTA 3.png,ACTA No. 3/HOJA 4 ACTA 3.png,png,acta,documento,HOJA 4 ACTA 3,,,638328
HOJA 5 ACTA 3.png,ACTA No. 3/HOJA 5 ACTA 3.png,png,acta,documento,HOJA 5 ACTA 3,,,581888
BALANCE A 30 ABRIL 2021.pdf,ANALISIS EQUIORIENTE/BALANCE A 30 ABRIL 2021.pdf,pdf,informe,informe,BALANCE A 30 ABRIL 2021,2021,4,400906
INDICADORES FINANCIERO 30 ABRIL 2021.pdf,ANALISIS EQUIORIENTE/INDICADORES FINANCIERO 30 ABRIL 2021.pdf,pdf,informe,informe,INDICADORES FINANCIERO 30 ABRIL 2021,2021,4,183829
ANALISIS EQUIORIENTE 2014 AL 2020.xlsx,ANALISIS EQUIORIENTE 2014 AL 2020.xlsx,xlsx,informe,informe,ANALISIS EQUIORIENTE 2014 AL 2020,2014,,10874
CEDULA ING JIMMY .pdf,CEDULA ING JIMMY .pdf,pdf,documento,documento,CEDULA ING JIMMY ,,,153029
CONSORCIO SEGUIMIENTO FEBRERO 2026.xlsx,CONSORCIO SEGUIMIENTO FEBRERO 2026.xlsx,xlsx,seguimiento,operacion,CONSORCIO SEGUIMIENTO FEBRERO 2026,2026,2,21977
CONTRATO AURUM.docx,CONTRATO AURUM.docx,docx,contrato,documento,CONTRATO AURUM,,,55016
CONTRATO TORCOROMA.docx,CONTRATO TORCOROMA.docx,docx,contrato,documento,CONTRATO TORCOROMA,,,48370
CONTRATOSANTO DOMINGO.docx,CONTRATOSANTO DOMINGO.docx,docx,contrato,documento,CONTRATOSANTO DOMINGO,,,52152
EJERCICIO REPARTICION EQUIORIENTE 2026.xlsx,EJERCICIO REPARTICION EQUIORIENTE 2026.xlsx,xlsx,informe,informe,EJERCICIO REPARTICION EQUIORIENTE 2026,2026,,179146
ENTRADAS A MACHU PICHU 30 SEPTIEMBRE.pdf,ENTRADAS A MACHU PICHU 30 SEPTIEMBRE.pdf,pdf,documento,documento,ENTRADAS A MACHU PICHU 30 SEPTIEMBRE,,9,74741
INFORME P Y G MES A MES AGOSTO 24.xlsx,INFORME ESTADOS FINANCIEROS 2024/INFORME P Y G MES A MES AGOSTO 24.xlsx,xlsx,informe,informe,INFORME P Y G MES A MES AGOSTO 24,2024,8,152317
INFORME P Y G MES A MES DICIEMBRE 2024.xlsx,INFORME ESTADOS FINANCIEROS 2024/INFORME P Y G MES A MES DICIEMBRE 2024.xlsx,xlsx,informe,informe,INFORME P Y G MES A MES DICIEMBRE 2024,2024,12,148495
INFORME RESUMIDO P Y G MES A MES AGOSTO 24.xlsx,INFORME ESTADOS FINANCIEROS 2024/INFORME RESUMIDO P Y G MES A MES AGOSTO 24.xlsx,xlsx,informe,informe,INFORME RESUMIDO P Y G MES A MES AGOSTO 24,2024,8,138630
INFORME 2019 EQUIORIENTE FINAL2.xlsx,INFORMES ESTADOS FINANCIEROS/INFORME 2019 EQUIORIENTE FINAL2.xlsx,xlsx,informe,informe,INFORME 2019 EQUIORIENTE FINAL2,2019,,132658
INFORME 2020 EQUIORIENTE final (1).xlsx,INFORMES ESTADOS FINANCIEROS/INFORME 2020 EQUIORIENTE final (1).xlsx,xlsx,informe,informe,INFORME 2020 EQUIORIENTE final (1),2020,,125804
INFORME 2021 EQUIORIENTE PERIODOMAYO A AGOSTO DE 2021 REUNION.xlsx,INFORMES ESTADOS FINANCIEROS/INFORME 2021 EQUIORIENTE PERIODOMAYO A AGOSTO DE 2021 REUNION.xlsx,xlsx,informe,informe,INFORME 2021 EQUIORIENTE PERIODOMAYO A AGOSTO DE 2021 REUNION,2021,5,112768
INFORMES PYG MES A MES 2025 DICIEMBRE.xlsx,INFORMES PYG MES A MES 2025 DICIEMBRE.xlsx,xlsx,informe,informe,INFORMES PYG MES A MES 2025 DICIEMBRE,2025,12,140188
INTERESES CHEQUES DINERO COMPRA PUERTA DE ORO.xlsx,INTERESES CHEQUES DINERO COMPRA PUERTA DE ORO.xlsx,xlsx,documento,documento,INTERESES CHEQUES DINERO COMPRA PUERTA DE ORO,,,9886
INVENTARIO MATERIAL EQUIORIENTE FEBRERO 2026.xlsx,INVENTARIO MATERIAL EQUIORIENTE FEBRERO 2026.xlsx,xlsx,inventario,operacion,INVENTARIO MATERIAL EQUIORIENTE FEBRERO 2026,2026,2,50322
ALQUILER FISCAL JULIO 2025.xlsx,JULIO 2025/ALQUILER FISCAL JULIO 2025.xlsx,xlsx,alquiler,historico,ALQUILER FISCAL JULIO 2025,2025,7,80124
ALQUILER NO FISCAL JULIO 2025.xlsx,JULIO 2025/ALQUILER NO FISCAL JULIO 2025.xlsx,xlsx,alquiler,historico,ALQUILER NO FISCAL JULIO 2025,2025,7,90818
SEGUIMIENTO JULIO 2025.xlsx,JULIO 2025/SEGUIMIENTO JULIO 2025.xlsx,xlsx,seguimiento,historico,SEGUIMIENTO JULIO 2025,2025,7,138656
ALQUILER FISCAL SEPTIEMBRE 2026.xlsx,SEPTIEMBRE 2026/ALQUILER FISCAL SEPTIEMBRE 2026.xlsx,xlsx,alquiler,operacion,ALQUILER FISCAL SEPTIEMBRE 2026,2026,9,44232
ALQUILER NO FISCAL SEPTIEMBRE 2026.xlsx,SEPTIEMBRE 2026/ALQUILER NO FISCAL SEPTIEMBRE 2026.xlsx,xlsx,alquiler,operacion,ALQUILER NO FISCAL SEPTIEMBRE 2026,2026,9,42608
SEGUIMIENTO SEPTIEMBRE 2026.xlsx,SEPTIEMBRE 2026/SEGUIMIENTO SEPTIEMBRE 2026.xlsx,xlsx,seguimiento,operacion,SEGUIMIENTO SEPTIEMBRE 2026,2026,9,110097
VALOR EMPRESA EQUIORIENTE AÑO 2026.xlsx,VALOR EMPRESA EQUIORIENTE AÑO 2026.xlsx,xlsx,informe,informe,VALOR EMPRESA EQUIORIENTE AÑO 2026,2026,,10985
VALOR MATERIAL EQUIORIENTE FEBRERO 2026.xlsx,VALOR MATERIAL EQUIORIENTE FEBRERO 2026.xlsx,xlsx,inventario,operacion,VALOR MATERIAL EQUIORIENTE FEBRERO 2026,2026,2,50188
´PROPOSICIONES ACTA 1 2021.docx,´PROPOSICIONES ACTA 1 2021.docx,docx,acta,historico,´PROPOSICIONES ACTA 1 2021,2021,,12508
