nombre,total,valor_unitario
TABLEROS DE MADERA 70 x 140,430,40000
BANDAS DE 40 X 140,70,30000
BANDAS DE 40 X 120,49,20000
BANDAS DE 40 X 100,102,15000
PARALES DE 1 M,5,15000
PARALES 3.00 MTS,350,40000
"PARALES DE 3,50",97,50000
PARALES 4.00 MTS,294,60000
PARALES DE 6 MTS,32,90000
"MARCOS DE ANDAMIOS 1,5",52,40000
"CRUCETAS DE ANDAMIO 2,40 MTS",80,10000
MARCOS DE ANDAMIO 2*90,20,60000
CERCHA DE 1 MTS,13,35000
"CERCHA DE 1,2 MTS",9,40000
"CERCHA DE 1,5 MTS",21,45000
CERCHA DE 2 MTS,33,65000
CERCHAS 3 MTS,119,95000
CHAPETAS CUADRADAS,1731,1300
ANGULOS DE 2.40,26,25000
ANGULOS DE 120,111,12000
ANGULO DE 60,99,6000
TABLERO METALICO 120 X 60,209,100000
TABLERO METALICO 120 X 55,2,95000
TABLERO METALICO 120 X 50,8,90000
TABLERO METALICO 120 X 45,18,85000
TABLERO METALICO 120 X 40,55,80000
TABLERO METALICO 120 X 35,30,75000
TABLERO METALICO 120 X 30,34,70000
"TABLERO METALICO 120 X 27,5",37,67500
TABLERO METALICO 120 X 25,52,65000
TABLERO METALICO 120 X 20,27,60000
TABLERO METALICO 120 X 15,68,55000
TABLERO METALICO 120 X 12,12,52500
TABLERO METALICO 120 X 10,8,50000
TABLERO METALICO 120 X 5,34,25000
TABLERO METALICO 30 X 60,8,30000
TABLONES 3 MTS,24,20000
TABLONES CORTOS,10,15000
RINCONERAS 10 X 10 X 60,6,10000
RINCONERAS 15 X 15 X 120,9,30000
RINCONERAS 10X 10 X 120,40,20000
ALINEADORES DE 6.00 MTS,4,90000
"ALINEADORES DE 2,50 MTS",7,40000
ALINEADORES DE 3 MTS,5,45000
ALINEADORES DE 3.70,1,55000
ALINEADORES DE 2 MTROS,60,40000
RUEDAS DE ANDAMIO,8,25000
ESCALERA DE TIJERA EN ALUMINIO 3 MTS,1,500000
PASAMANOS 3 MTS,2,5000
PASAMANOS 6 MTS,4,10000
MEZCLADORA DE CEMENTO 1 1/2 DIESEL,1,3000000
POLEAS COLGANTES,6,1750000
POLEAS MANUAL C/ LAZO,1,70000
ALINEADORES DE1 MTROS,41,20000
ALINEADORES DE 1.5 MTROS,3,25000
TENSORES,123,6000
